Year,Actor,Name,Globe best actor winner,Globe best actor nominee,BAFTA best actor winner,BAFTA best actor nominee,Spirit best actor winner,Spirit best actor nominee,Guild best actor winner,Guild best actor nominee
1976,Peter Finch ,Network,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,David Carradine,Bound for Glory,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Robert De Niro ,Taxi Driver,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Dustin Hoffman,Marathon Man,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,Sylvester Stallone ,Rocky,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Richard Burton ,Equus,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Marcello Mastroianni ,A Special Day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Al Pacino,Bobby Deerfield,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Gregory Peck,MacArthur,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,Henry Winkler,Heroes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Jon Voight ,Coming Home,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Brad Davis,Midnight Express,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1978,Robert De Niro ,The Deer Hunter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,Anthony Hopkins,Magic,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1978,Gregory Peck,The Boys from Brazil,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Dustin Hoffman ,Kramer vs. Kramer,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Jack Lemmon ,The China Syndrome,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Al Pacino ,...And Justice for All,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,Jon Voight,The Champ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,James Woods,The Onion Field,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Robert De Niro ,Raging Bull,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,John Hurt ,The Elephant Man,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Jack Lemmon ,Tribute,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Peter O'Toole ,The Stunt Man,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,Donald Sutherland,Ordinary People,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Henry Fonda ,On Golden Pond,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Warren Beatty ,Reds,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Timothy Hutton,Taps,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Burt Lancaster ,Atlantic City,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,Treat Williams,Prince of the City,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Ben Kingsley ,Gandhi,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Albert Finney,Shoot the Moon,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1982,Richard Gere,An Officer and a Gentleman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Jack Lemmon ,Missing,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,Paul Newman ,The Verdict,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Tom Courtenay ,The Dresser,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Robert Duvall ,Tender Mercies,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Tom Conti ,"Reuben, Reuben",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Richard Farnsworth,The Grey Fox,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Albert Finney ,The Dresser,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Al Pacino,Scarface,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,Eric Roberts,Star 80,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,F. Murray Abraham ,Amadeus,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Jeff Bridges ,Starman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Albert Finney ,Under the Volcano,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Tom Hulce ,Amadeus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Sam Waterston ,The Killing Fields,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Jon Voight ,Runaway Train,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Harrison Ford ,Witness,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Gene Hackman,Twice in a Lifetime,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,William Hurt ,Kiss of the Spider Woman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Raúl Juliá,Kiss of the Spider Woman,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bob Hoskins ,Mona Lisa,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Harrison Ford,The Mosquito Coast,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Dexter Gordon ,Round Midnight,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,William Hurt ,Children of a Lesser God,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Jeremy Irons,The Mission,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Paul Newman ,The Color of Money,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Michael Douglas ,Wall Street,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,John Lone,The Last Emperor,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Jack Nicholson ,Ironweed,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Nick Nolte,Weeds,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Denzel Washington  (nominated for Academy Award for Best Supporting Actor),Cry Freedom,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Dustin Hoffman ,Rain Man,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Gene Hackman ,Mississippi Burning,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
