Name,Year,Globe best film winner,Globe best film nominee,BAFTA best film winner,BAFTA best film nominee,Spirit best film nominee,Spirit best film winner,Critic best film winner,Critic best film nominee,Oscar best film winner,Oscar best film nominee
Terms of Endearment ,1983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reuben, Reuben",1983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Right Stuff ,1983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silkwood,1983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tender Mercies ,1983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadeus ,1984,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Cotton Club,1984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Killing Fields ,1984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Places in the Heart ,1984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Soldier's Story ,1984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Out of Africa ,1985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Color Purple ,1985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiss of the Spider Woman ,1985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runaway Train,1985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Witness ,1985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platoon ,1986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Children of a Lesser God ,1986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Mission ,1986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mona Lisa,1986,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A Room with a View ,1986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stand by Me,1986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Last Emperor ,1987,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cry Freedom,1987,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Empire of the Sun,1987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fatal Attraction ,1987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La Bamba,1987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuts,1987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rain Man ,1988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
