Year,Name,Director,Globe best director winner,Globe best director nominee,BAFTA best director winner,BAFTA best director nominee,Spirit best director winner,Spirit best director nominee
1977,Close Encounters of the Third Kind,Steven Spielberg ,0.0,1.0,0.0,0.0,0.0,0.0
1977,Julia,Fred Zinnemann ,0.0,1.0,0.0,0.0,0.0,0.0
1977,Star Wars,George Lucas ,0.0,1.0,0.0,0.0,0.0,0.0
1978,The Deer Hunter,Michael Cimino ,1.0,1.0,0.0,0.0,0.0,0.0
1978,Coming Home,Hal Ashby ,0.0,1.0,0.0,0.0,0.0,0.0
1978,Days of Heaven,Terrence Malick,0.0,1.0,0.0,0.0,0.0,0.0
1978,Interiors,Woody Allen ,0.0,1.0,0.0,0.0,0.0,0.0
1978,Midnight Express,Alan Parker ,0.0,1.0,0.0,0.0,0.0,0.0
1978,An Unmarried Woman,Paul Mazursky,0.0,1.0,0.0,0.0,0.0,0.0
1979,Apocalypse Now,Francis Ford Coppola ,1.0,1.0,0.0,0.0,0.0,0.0
1979,Being There,Hal Ashby,0.0,1.0,0.0,0.0,0.0,0.0
1979,Breaking Away,Peter Yates ,0.0,1.0,0.0,0.0,0.0,0.0
1979,The China Syndrome,James Bridges,0.0,1.0,0.0,0.0,0.0,0.0
1979,Kramer vs. Kramer,Robert Benton ,0.0,1.0,0.0,0.0,0.0,0.0
1980,Ordinary People,Robert Redford ,1.0,1.0,0.0,0.0,0.0,0.0
1980,The Elephant Man,David Lynch ,0.0,1.0,0.0,0.0,0.0,0.0
1980,Raging Bull,Martin Scorsese ,0.0,1.0,0.0,0.0,0.0,0.0
1980,The Stunt Man,Richard Rush ,0.0,1.0,0.0,0.0,0.0,0.0
1980,Tess,Roman Polanski ,0.0,1.0,0.0,0.0,0.0,0.0
1981,Reds,Warren Beatty ,1.0,1.0,0.0,0.0,0.0,0.0
1981,Atlantic City,Louis Malle ,0.0,1.0,0.0,0.0,0.0,0.0
1981,On Golden Pond,Mark Rydell ,0.0,1.0,0.0,0.0,0.0,0.0
1981,Prince of the City,Sidney Lumet,0.0,1.0,0.0,0.0,0.0,0.0
1981,Ragtime,Miloš Forman,0.0,1.0,0.0,0.0,0.0,0.0
1981,Raiders of the Lost Ark,Steven Spielberg ,0.0,1.0,0.0,0.0,0.0,0.0
1982,Gandhi,Richard Attenborough ,1.0,1.0,0.0,0.0,0.0,0.0
1982,E.T. the Extra-Terrestrial,Steven Spielberg ,0.0,1.0,0.0,0.0,0.0,0.0
1982,Missing,Constantin Costa-Gavras,0.0,1.0,0.0,0.0,0.0,0.0
1982,Tootsie,Sydney Pollack ,0.0,1.0,0.0,0.0,0.0,0.0
1982,The Verdict,Sidney Lumet ,0.0,1.0,0.0,0.0,0.0,0.0
1983,Yentl,Barbra Streisand §,1.0,1.0,0.0,0.0,0.0,0.0
1983,The Dresser,Peter Yates ,0.0,1.0,0.0,0.0,0.0,0.0
1983,Fanny and Alexander,Ingmar Bergman ,0.0,1.0,0.0,0.0,0.0,0.0
1983,Silkwood,Mike Nichols ,0.0,1.0,0.0,0.0,0.0,0.0
1983,Tender Mercies,Bruce Beresford ,0.0,1.0,0.0,0.0,0.0,0.0
1983,Terms of Endearment,James L. Brooks ,0.0,1.0,0.0,0.0,0.0,0.0
1984,Amadeus,Miloš Forman ,1.0,1.0,0.0,0.0,0.0,0.0
1984,The Cotton Club,Francis Ford Coppola,0.0,1.0,0.0,0.0,0.0,0.0
1984,The Killing Fields,Roland Joffé ,0.0,1.0,0.0,0.0,0.0,0.0
1984,Once Upon a Time in America,Sergio Leone,0.0,1.0,0.0,1.0,0.0,0.0
1984,A Passage to India,David Lean ,0.0,1.0,0.0,0.0,0.0,0.0
1985,Prizzi's Honor,John Huston ,1.0,1.0,0.0,0.0,0.0,0.0
1985,A Chorus Line,Richard Attenborough,0.0,1.0,0.0,0.0,0.0,0.0
1985,The Color Purple,Steven Spielberg,0.0,1.0,0.0,0.0,0.0,0.0
1985,Out of Africa,Sydney Pollack ,0.0,1.0,0.0,0.0,0.0,0.0
1985,Witness,Peter Weir ,0.0,1.0,0.0,0.0,0.0,0.0
1986,Platoon,Oliver Stone ,1.0,1.0,0.0,0.0,0.0,0.0
1986,Hannah and Her Sisters,Woody Allen ,0.0,1.0,0.0,0.0,0.0,0.0
1986,The Mission,Roland Joffé ,0.0,1.0,0.0,0.0,0.0,0.0
1986,A Room with a View,James Ivory ,0.0,1.0,0.0,0.0,0.0,0.0
1986,Stand by Me,Rob Reiner,0.0,1.0,0.0,0.0,0.0,0.0
1987,The Last Emperor,Bernardo Bertolucci ,1.0,1.0,0.0,0.0,0.0,0.0
1987,Broadcast News,James L. Brooks,0.0,1.0,0.0,0.0,0.0,0.0
1987,Cry Freedom,Richard Attenborough,0.0,1.0,0.0,1.0,0.0,0.0
1987,Fatal Attraction,Adrian Lyne ,0.0,1.0,0.0,0.0,0.0,0.0
1987,Hope and Glory,John Boorman ,0.0,1.0,0.0,0.0,0.0,0.0
1988,Bird,Clint Eastwood §,1.0,1.0,0.0,0.0,0.0,0.0
1988,A Cry in the Dark,Fred Schepisi,0.0,1.0,0.0,0.0,0.0,0.0
1988,Mississippi Burning,Alan Parker ,0.0,1.0,0.0,0.0,0.0,0.0
1988,Rain Man,Barry Levinson ,0.0,1.0,0.0,0.0,0.0,0.0
